"Image","Title","Item Highlights","Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Monthly Sales Trends: Monthly Sold (Last Known)","Reviews: Rating","Reviews: Rating Count","ASIN","Brand"
"https://m.media-amazon.com/images/I/71jXhYchIxL.jpg;https://m.media-amazon.com/images/I/61i5uwOH1qL.jpg;https://m.media-amazon.com/images/I/61-+tjcWS4L.jpg;https://m.media-amazon.com/images/I/51U5L5tbphL.jpg;https://m.media-amazon.com/images/I/51vrc1-m56L.jpg;https://m.media-amazon.com/images/I/61zO8R0JSuL.jpg;https://m.media-amazon.com/images/I/71K-SRm0g-L.jpg","NexLev Handheld Garment Steamer |1500 Watts | 35 g/min | 300 ML| Vertical & Horizontal Ironing for Silk Velvet|Damage Free Steam for all Cloth Types|25sec quick heat | 3 Brushes |GS-01","","328590","319701","302498","88545","0","10","3.9","123","B0CDPQXPC1","nexlev"
"https://m.media-amazon.com/images/I/71+RZvglJ7L.jpg;https://m.media-amazon.com/images/I/810FZ3grJ+L.jpg;https://m.media-amazon.com/images/I/81QimcXDHAL.jpg;https://m.media-amazon.com/images/I/81tqFQHbBXL.jpg;https://m.media-amazon.com/images/I/81ZhqnQxO-L.jpg;https://m.media-amazon.com/images/I/81GsNUJ34gL.jpg;https://m.media-amazon.com/images/I/81nzY+UfrQL.jpg;https://m.media-amazon.com/images/I/91hnAlZn0RL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","Nexlev Steam Iron Handheld For Clothes | Hand Iron Steamer For Clothes 1500W Garment Steamer | 300ML Tank | Vertical & Horizontal Steam Press for Clothes | 25s Quick Heat | Travel Friendly GS-02","","17926","32363","42671","21535","13","100","4.1","299","B0CDPMX152","nexlev"
"https://m.media-amazon.com/images/I/61Q0vs-wTNL.jpg;https://m.media-amazon.com/images/I/71DOSkwk4vL.jpg;https://m.media-amazon.com/images/I/81k912NAmUL.jpg;https://m.media-amazon.com/images/I/81zc9ABOiLL.jpg;https://m.media-amazon.com/images/I/71q0qFh0xOL.jpg;https://m.media-amazon.com/images/I/71EFOaIJ7QL.jpg;https://m.media-amazon.com/images/I/71gi1ZY6WwL.jpg;https://m.media-amazon.com/images/I/81lg0-P6swL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner | 1000W","","2517","2248","3888","5359","28","500","3.9","783","B0CDPP45BM","nexlev"
"https://m.media-amazon.com/images/I/71OYSRLOpsL.jpg;https://m.media-amazon.com/images/I/71glW987FyL.jpg;https://m.media-amazon.com/images/I/71JIq0JHamL.jpg;https://m.media-amazon.com/images/I/81FLmofCtWL.jpg;https://m.media-amazon.com/images/I/81peyQAsfeL.jpg;https://m.media-amazon.com/images/I/711Y2qsrfLL.jpg;https://m.media-amazon.com/images/I/81U9+2Qi-PL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01","","22116","21839","21340","14279","1","10","3.8","119","B0CDQ98FDM","nexlev"
"https://m.media-amazon.com/images/I/817AHr9fnmL.jpg;https://m.media-amazon.com/images/I/81ZP079cb6L.jpg;https://m.media-amazon.com/images/I/81OKa6l+XVL.jpg;https://m.media-amazon.com/images/I/91DNr2yDI1L.jpg;https://m.media-amazon.com/images/I/81WoNfgFL-L.jpg;https://m.media-amazon.com/images/I/81j4Inqae9L.jpg;https://m.media-amazon.com/images/I/815mG91RZiL.jpg","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-02","","22116","22482","21628","14805","1","50","3.8","118","B0CDQ55W2M","nexlev"
"https://m.media-amazon.com/images/I/71OYSRLOpsL.jpg;https://m.media-amazon.com/images/I/71glW987FyL.jpg;https://m.media-amazon.com/images/I/71JIq0JHamL.jpg;https://m.media-amazon.com/images/I/81FLmofCtWL.jpg;https://m.media-amazon.com/images/I/81peyQAsfeL.jpg;https://m.media-amazon.com/images/I/711Y2qsrfLL.jpg;https://m.media-amazon.com/images/I/81U9+2Qi-PL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03","","22116","22081","21411","14450","1","10","3.8","117","B0CDQ6G4TC","nexlev"
"https://m.media-amazon.com/images/I/61lyW63dPdL.jpg;https://m.media-amazon.com/images/I/71qKrFtlzML.jpg;https://m.media-amazon.com/images/I/71wA6EfHNFL.jpg;https://m.media-amazon.com/images/I/61yVKDY6ebL.jpg;https://m.media-amazon.com/images/I/610T38GDA5L.jpg","Nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-04 (Sky Blue)","","65448","62301","56890","39979","0","","3.9","24","B0CDQ5Y3YB","nexlev"
"https://m.media-amazon.com/images/I/61XbEaUiXmL.jpg;https://m.media-amazon.com/images/I/71Q3NY7osiL.jpg;https://m.media-amazon.com/images/I/717hfjRPzeL.jpg;https://m.media-amazon.com/images/I/61zcwnay+9L.jpg;https://m.media-amazon.com/images/I/61O+babdJtL.jpg","nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-05 (Pink)","","49088","47368","44815","36489","0","","3.7","15","B0CDQ5NBH8","nexlev"
"https://m.media-amazon.com/images/I/61KpXReB6BL.jpg","Nexlev Sherpa Waterproof Camping Blanket - Extra Thick and Warm Large Sherpa Fleece Outdoor Blanket for Camping Picnics Beaches Stadiums Pets - Washable and Windproof for Cold Weather TR-05 (Grey)","","37500","36196","34139","23967","0","","3.4","45","B0CFH6C6YM","nexlev"
"https://m.media-amazon.com/images/I/71qCifiEO2L.jpg;https://m.media-amazon.com/images/I/61+c61--QHL.jpg;https://m.media-amazon.com/images/I/71dXXGX-uIL.jpg;https://m.media-amazon.com/images/I/718BsR7xR0L.jpg;https://m.media-amazon.com/images/I/612QoqoTHEL.jpg;https://m.media-amazon.com/images/I/61gkPFXWr9L.jpg;https://m.media-amazon.com/images/I/716v6DkrYmL.jpg;https://m.media-amazon.com/images/I/715krNVOD+L.jpg","Nexlev Dental Flosser| 6 Water Pressures| 4 Cleaning Modes| 2 Nozzle Tips, Tongue Cleaner, Carry Case for Tips| USB-C Charging| 1500mAh| 250ml Tank| IPX7 Water Proof| Carry Pouch | Aqua DF-01-BK","","130965","126788","117718","87569","0","40","3.8","86","B0CW1JJP9S","nexlev"
