account,cohort,units_shipped,age_months,observed_return_pct,share_of_lifetime_arrived,expected_lifetime_return_pct,mature,maturity_lag_months,lifetime_rate_from_matured_pct
NEXLEV,2025-08,3059.0,12,16.2798,1.0,16.2798,True,3,15.5962
NEXLEV,2025-09,5030.0,11,14.4135,1.0,14.4135,True,3,15.5962
NEXLEV,2025-10,4712.0,10,14.9618,1.0,14.9618,True,3,15.5962
NEXLEV,2025-11,3922.0,9,16.4967,1.0,16.4967,True,3,15.5962
NEXLEV,2025-12,4496.0,8,17.371,1.0,17.371,True,3,15.5962
NEXLEV,2026-01,4862.0,7,14.6442,0.9999,14.646,True,3,15.5962
NEXLEV,2026-02,3598.0,6,12.3958,0.9999,12.3974,True,3,15.5962
NEXLEV,2026-03,4081.0,5,17.8633,0.9997,17.868,True,3,15.5962
NEXLEV,2026-04,4010.0,4,15.0623,0.9997,15.0663,True,3,15.5962
NEXLEV,2026-05,3618.0,3,16.4732,0.9996,16.4805,True,3,15.5962
NEXLEV,2026-06,3153.0,2,17.19,0.9993,17.2027,False,3,15.5962
NEXLEV,2026-07,4390.0,1,15.8087,0.9965,15.8642,False,3,15.5962
NEXLEV,2026-08,4131.0,0,10.7238,0.6748,15.8915,False,3,15.5962
