asin,week,brand,SKU,Model,(Parent) ASIN,Title,sessions,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,buy_box_pct,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,conversion_pct,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,gmv,Spend,Clicks,Impressions,attributed_sales,ams_orders,ad_channel,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct
B0CDPMX152,19,Nexlev,FBA78980,GS-02,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,12328,116,0.0824,0.0464,15786,170,0.08249999999999999,0.0517,0.9989,1.0,48,0,0.0078,0.0,81238.98305084747,0.0,48,0,0,11758.77,621.0,163051.0,19566.93,11.0,SP_SD,0.6009511967385788,1.6640286356481162,,1068.979090909091,,
B0CDPP45BM,19,Nexlev,FBA78981,SC-01,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 5 Mtr Cord | 1000W |SC-01",14986,460,0.1001,0.1841,20834,658,0.1088,0.1999,0.9982,1.0,64,1,0.0085,0.0043,208788.9830508475,3999.0,64,1,0,30825.58,1407.0,187644.0,87603.36,26.0,SP_SD,0.35187668600839056,2.841904677868186,,1185.5992307692309,,
B0CDQ55W2M,19,Nexlev,FBA78995,NP-02,B0CDQ55W2M,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-02",5,0,0.0,0.0,6,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0CDQ5NBH8,19,Nexlev,FBA78998,NP-05,B0CDQ5NBH8,nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-05 (Pink),1,0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0CDQ6G4TC,19,Nexlev,FBA78996,NP-03,B0CDQ6G4TC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03",1,0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0CQX9ZZMH,19,Nexlev,FBA79229,GS-04,B0CQX9ZZMH,NexLev Handheld Garment Steamer |1800 Watts | 35 g/min | 300 ML | Vertical & Horizontal Ironing for Silk Velvet & | Damage Free Steam for all Cloth Types | 25sec quick heat | 3 Brushes | GS-04,92,4,0.0006,0.0016,130,4,0.0007,0.0012,1.0,1.0,2,0,0.0434,0.0,3763.559322033899,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0CW1JJP9S,19,Nexlev,FBA79174,DF-01-BK,B0CW1JJP9S,"Nexlev Dental Flosser| 6 Water Pressures| 4 Cleaning Modes| 2 Nozzle Tips, Tongue Cleaner, Carry Case for Tips| USB-C Charging| 1500mAh| 250ml Tank| IPX7 Water Proof| Carry Pouch | Aqua DF-01-BK",95,4,0.0007,0.0018,106,4,0.0006,0.0013,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0CYSLCRQS,19,Nexlev,FBA79263,MR-01,B0CYSLCRQS,"NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01",108820,1106,0.7273000000000001,0.4428,130990,1356,0.6843,0.412,0.9989999999999999,1.0,73,0,0.0013,0.0,162500.8474576271,0.0,73,0,0,34352.85,2134.0,220806.0,88095.85,37.0,SP_SD,0.3899485617086389,2.564440796032935,,928.4554054054054,,
B0D25LNDSY,19,Nexlev,FBA79346,ETC-04-WH,B0D25LNDSY,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,31,5,0.0002,0.0022,40,6,0.0002,0.002,1.0,1.0,1,0,0.0323,0.0,596.6101694915254,0.0,1,0,0,373.17,18.0,15149.0,0.0,0.0,SP_SD,,0.0,,,,
B0D2LD6BYJ,19,Nexlev,FBA79267,T-02,B0D2LD6BYJ,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",106,0,0.0007,0.0,139,0,0.0008,0.0,0.9921,0.0,5,0,0.0472,0.0,5258.474576271186,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
